Food Name,Food Code,Description,Group,Group (sub-class),Comments,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Total Nitrogen (g),NSP (g),Fibre (g),Fat (g),Starch (g),Water (g),Total Phytosterols (mg),Description Footnote,Citric acid (g),Malic acid (g),Alcohol (g),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),Carotene (µg),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),Cholesterol (mg),Oligosaccharide (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Retinol Equivalent (µg),Retinol (µg),5-mehtyl folate (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),Vitamin D (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Vitamin E (mg),Vitamin K1 (µg)
"Chicken noodle soup, dried",17-253,"10 packets, 4 brands",Soups,WAE,As MSF 17-253,322,17.1,53.7,4.8,2.74,4.3,0,4.8,41.6,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5100,250,72,59,250,3.7,0.17,1.2,7630,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.5,3.5,0,0,0,0,0,0,0,0,0,0.23,0.09,3.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxtail soup, dried, as served",17-274,Calculated from 45g soup powder to 570ml water,Soups,WAE,As MSF 17-274,27,1.4,3.75,0.7,0.22,0,0,0.8,2.9,92.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,54,11,3,20,0.3,0.02,0.2,590,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.4,0.1,0,0,0,0,0,0,0,0,0.8,0.02,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pickle, sweet",17-352,"9 samples, 4 brands",Soups,WCG,As MSF 17-352,141,0.6,30.65,33.65,0.1,1.2,0,0.1,1.9,60.7,0,,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,94,15,6,12,0.6,0,0.1,1750,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,11.8,10.9,0,0,0,0,0,0,0,0,0,0.03,0.01,0.1,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mayonnaise, reduced calorie, retail",17-511,"12 samples, 8 brands",Soups,WCG,Data as MSF 17-318 and FA Supplements 17-483. Retail added to name for IDS,288,1,8,4.55,0.16,0,0,28.1,3.3,59.5,0,,0,0,0,0,57,0,0,0,57,0,4.19,55.48,14.9,2.95,0.79,25.14,6.75,0,6.88,57.17,15.36,0,15.7,15.58,4.19,0,0,1.75,0.47,940,0,0,0,0,0,0,0,1450,0,0,0,0,52.7,32.5,0,9.3,0,0,0,7.6,21.7,0,1.1,0,1,2.5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0.06,0.44,5.66,0,0,0,8.33,0
"Mayonnaise, retail",17-510,"6 samples, 5 brands",Soups,WCG,"Data as MSFand FA Supplements 17-316 with vitamin E from Milk Marketing Board, 1992, 'Fat, Fatty acids and vitamin E content of a selection of biscuits, cakes and desserts'.",691,1.1,1.65,1.25,0.18,0,0,75.6,0.4,18,0,,0,0,0,0,0,0,0,0,100,0,11.42,55.65,40.22,2.97,2.15,24.71,17.86,0,18.19,57.37,41.46,0,42.36,15.8,11.42,0,0,0,1.23,450,16,8,1,27,0.3,0.02,0.1,750,0,0,35,0,0,0,0,0,0,0,0,0,75,0,0.1,0,0.1,1.1,0,0,0,0,0,0,103,86,0,0.02,0.07,0,0.3,0.3,0.01,1,4,0,0,0,0,0,0.3,0,0,0,0,0,0,0,16.87,0
"Dressing, French",17-509,"8 samples, 6 brands",Soups,WCG,"As MSF 17-302 and FA supplements 17-481. Vitamin E from Milk Marketing Board, 1992 'Fat, Fatty acids and vitamin E content of a selection of biscuits, cakes and desserts'.",462,0.1,4.5,4.5,0.02,0,0,49.4,0,33.3,0,,0,0,0,0,0,0,0,0,0,0,7.98,57.92,27.35,2.27,1.07,22.43,10.59,0,10.59,59.65,28.17,0,28.43,16.89,7.98,0.1,0.05,0.54,0.26,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.59,0,0,9.01,0,0,0,20.49,0
"Dressing, French, fat free",17-538,Manufacturer's data (Kraft),Soups,WCG,"Data from Manufacturer, Kraft, minerals and vitamins as MSF 17-301",38,0.1,9.9,9.3,0.02,0.3,0,0,0.6,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salad cream, reduced calorie",17-327,Analysis and manufacturers' data,Soups,WCG,As MSF 17-327 with fatty acids from FA 17-452,194,1,9.3,9.1,0.16,0,0,17.2,0.2,0,34.1,,0,0,0,0,0,0,0,0,0,0,2.55,53.9,8.86,1.7,0.28,28.5,4.69,0,4.69,55.6,9.14,0,9.14,15.5,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,0,5.8,0,0,0,2.4,7,0,2.5,0,2.3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dressing, thousand island",17-306,"7 samples, 4 brands",Soups,WCG,As MSF 17-306 with fatty acids and phytosterols from FA 17-482,323,1.1,12.35,10.75,0.18,0.4,0,30.2,1.5,47.6,192.6,,0,0,0,0,0,0,0,0,170,0,3.75,36.6,10.57,9.2,2.66,40.5,11.69,0,11.75,44.2,12.76,0,12.82,13,3.75,0,0,1.6,0.46,900,130,24,9,34,0.3,0.05,0.2,1390,0.07,1,5,1.8,0,99,11.4,64.2,7.2,0,0,9,29,0,5,0,3.3,2.5,0,0,0,0,0,0,0,14,0,0.01,0.02,0.1,0.2,0,0.02,0,4,0.1,1,0,0,0,0.1,0,0,0,0,0,0,0,8.1,0
"Dressing, blue cheese",17-300,"7 samples, 2 brands",Soups,WCG,As MSF 17-300 with fatty acids and phytosterols from FA 17-480,457,1.95,8.65,7.7,0.31,0,0,46.3,0.9,38.4,105.2,,0,0,0,0,0,0,0,0,27,0,8.5,48,21.25,9.9,4.38,21.9,9.69,0,10.13,54.4,24.08,0,25.63,19.2,8.5,0,0,4.5,1.99,1110,52,58,7,61,0.6,0.02,0.4,1400,0.1,1,6,1.5,0,58.4,0.5,25.4,2,0,0,17.3,41,0,4,0,3.5,0.2,0,0,0,0,0,0,0,46,0,0.01,0.04,0,0.7,0,0.01,0,5,0.12,1,0,0,0,0.2,0,0,0,0,0,0,0,5.91,0
"Dressing, thousand island, reduced calorie",17-307,"8 samples, 3 brands",Soups,WC,As MSF 17-307,195,0.7,14.6,14.6,0.11,0,0,15.2,0,65.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Minestrone soup, canned",17-542,Manufacturer's data (Heinz),Soups,WA,"Data from manufacturer (Heinz) . Total carbohydrate and its components, starch and sugars, are expressed as their monosaccharide equivalents",31,1.3,5.55,1.2,0.21,0.7,0,0.5,4.1,92.1,0,,0,0,0,0,0,0,0,0,340,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,302,101,18,9,24,0.3,0.04,0.2,470,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,4,0,0.02,0.01,0.2,0.2,0.4,0.04,0,5,0.05,0.2,2,0,0,0,0,0,0,0,0,0,0,0.27,0
Kit Kat,17-493,Analysis and Manufacturer's data,"Sugars, preserves and snacks ",SEA,"As MSF (17-093) and FA (17-424) Supplements. Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",500,7.5,61.25,48.9,1.2,0,0,26,11.7,2,0,,0,0,0,0,0,0,0,0,47,0,16.18,2.6,0.64,0.2,0.05,30,7.41,0,7.54,2.65,0.65,0,0.69,65.48,16.18,0.37,0.09,0.67,0.17,120,330,200,52,200,1.5,0.28,1.1,210,0.34,0,0,0,0,0,0,0,0,0,0,0,12,0,0.1,0,0.1,42.2,0.1,7.6,0,0,0,0,16,8,0,0.11,0.44,0.5,2.6,3.1,0.06,0,0,0.7,4,0,0,0,0,0.58,0.04,0.22,4.06,0,0,0,1,4.5
Twix,17-550,Analysis and manufacturer's data (Mars),"Sugars, preserves and snacks ",SEA,"Manufacturer's data. Total carbohydrate, starch and sugars are expressed as monosaccharide equivalents. Inorganic and some vitamin values from 50-1024. Fatty acid data from a different sample with slightly different fat profile available in 17-427",492,4.6,66.5,50.55,0.74,0.8,0,24.1,15.3,3.6,0,,0,0,0,0,0,0,0,0,7,0,11.7,0,0,0,0,0,0,0,11.5,0,0,0,0.9,0,0,0,0,0,5,190,190,110,28,130,1.1,0.08,0.7,250,0.22,0,0,0,0,0,0,0,0,0,0,0,4,0,6.8,0,0.1,34,4.2,6.4,0,0,0,0,16,15,0,0.06,0.22,0.3,0.9,1.2,0.05,0,0,0.61,3,0,0,0,0.3,2.74,0.09,0.18,2.74,2.13,0.52,2.35,3.72,0
Snickers,17-549,Manufacturer's data (Mars) and literature (Cutrufelli and Pehrsson 1991),"Sugars, preserves and snacks ",SEA,"Data from manufacturer (Mars). Total carbohydrate and its components, starch and sugars, are expressed as their monosaccharide equiv. Some inorganic and vitamin values from MSF 17-097.",497,9.4,54.45,46.55,1.5,1.3,0,27.8,7.5,5.6,0,,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,10.9,0,0,0,4.3,0,0,0,0,0,0.4,270,330,98,32,110,1.2,0.4,1.3,0,0.49,0,0,0,0,0,0,0,0,0,0,0,4,0,6.6,0,0.5,29,6.7,4.7,0,0,0,0,0,15,0,0.08,0.18,3.4,0,0,0.19,0,24,0.69,19,0,0,0,0,0,0,0,0,0,0,0,0.97,0
Milky Way,17-548,10 samples,"Sugars, preserves and snacks ",SEA,"Manufacturer's data. Total carbohydrate, starch and sugars, are expressed as their monosaccharide equivalents. Some inorganic and vitamin values from MSF 17-095. Fatty acid data from a sample with slightly different fat content is available in FA 17-426",445,3.5,73.2,37.1,0.56,0.2,0,16.7,65.3,6.4,0,,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,6.1,0,0,0,0.9,0,0,0,0,0,0.4,100,240,90,21,80,1.1,0.13,0.8,160,0.25,0,0,0,0,0,0,0,0,0,0,0,7,0,8.7,0,0,47.4,5.4,6.7,0,0,0,0,0,28,0,0.05,0.15,0.2,1.1,0,0.03,0,4,0.59,2,0,0,0,0.4,1.36,0.03,0.13,2.1,1.04,0.23,1.2,1.91,0
Mars bar,17-547,Analysis and manufacturer's data (Mars),"Sugars, preserves and snacks ",SEA,"Data from manufacturer (Mars). Total carbohydrate and its components, starch and sugars, are expressed as their monosaccharide equivalents. Fatty acid data from a different sample with slightly different fatty acid profile is available in 17-425",473,4.5,75.45,64.85,0.69,0.4,0,18.3,10.1,6.9,0,,0,0,0,0,0,0,0,0,40,0,10.3,0,0,0,0,0,0,0,6.7,0,0,0,1,0,0,0,0,0,0.5,150,250,95,32,110,1.2,0.31,0.7,300,0,2,0,0,0,0,0,0,0,0,0,0,8,0,9.7,0,0.1,43.1,6.8,6.6,0,0,0,0,0,31,0,0.05,0.2,0.2,0.9,0,0.03,0,5,0.59,2,0,0,0,0.3,0,0,0,0,0,0,0,0.47,4.8
Bounty bar,17-546,Manufacturer's data (Mars). milk chocolate,"Sugars, preserves and snacks ",SEA,"Data from manufacturer (Mars). Total carbohydrate and its components, starch and sugars, are expressed as their monosaccharide equivalents. Fatty acid data is available in obsoleted  17-082  but from a sample with slightly different fatty acid proportions",469,3.7,56.95,46.5,0.59,3.2,0,26.3,9.6,8.6,0,"Bounty bar made with plain chocolate contains 3.2g protein, 26.8 g fat, 56.3g carbohydrate (11.0g starch, 45.3g sugar), 465kcal and 1947kJ of energy per 100g",0,0,0,0,0,0,0,0,40,0,20.5,0,0,0,0,0,0,0,4.8,0,0,0,0.8,0,0,0,0,0,0.1,180,320,57,39,100,1.5,0.47,0.6,400,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0.1,39.3,2.8,2.3,0,0,0,0,22,15,0,0.04,0.13,0.3,0.8,1.1,0.03,0,4,0.25,1,0,0,0,0.3,0,0,0,0,0,0,0,0.32,0
"Chocolate, fancy and filled",17-088,10 samples of different brands,"Sugars, preserves and snacks ",SEA,As MSF and FA 17-088,447,4.9,61.6,58.75,0.78,1.3,0,21.3,0.2,6.1,0,,0,0,0,0,0,0,0,0,120,0,11.3,4.7,0.95,0.2,0.04,33.9,6.86,0,8,4.9,0.99,0,1,55.5,11.24,0.2,0.04,5.4,1.09,88,270,110,48,150,1.2,0.3,0.8,140,0.39,2,120,0,0,0,0,0,0,0,0,0,11,0,5.4,0,3.1,45.7,2.2,3.6,0,0,0,0,0,81,0,0.05,0.2,0.4,0.9,0,0.03,0,17,0.73,3,0,0,0,0,1.35,0.05,0.31,2.73,0,0,0,1.65,0
Smartie-type sweets,17-096,10 samples including Smarties and M & M's,"Sugars, preserves and snacks ",SEA,As MSF 17-096,456,5.4,72.1,69.1,0.86,0,0,17.5,2.8,1.5,0,,0,0,0,0,0,0,0,0,28,0,10.4,0,0,0,0,0,0,0,5.7,0,0,0,0.6,0,0,0,0,0,0,58,280,150,48,160,1.5,0.25,0.9,120,0.25,0,0,0,0,0,0,0,0,0,0,0,17,0,0.3,0,0,65.6,0.1,4.8,0,0,0,0,0,5,0,0.08,0.79,0.3,1.7,0,0.03,0,4,0.67,2,0,0,0,0,0.46,0,0.18,3.2,0.07,0,0.06,0.8,0
"Chocolate, plain",17-491,"6 bars, 3 brands","Sugars, preserves and snacks ",SEA,"As MSF and FA 17-090 with selenium from SAC 'Analysis of foods for Selenium' 1994 MAFF Project 2B006. Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",510,5,61.95,61.1,0.8,2.5,0,28,0.8,0.6,0,,0,0,0,0,0,0,0,0,15,0,16.8,3.6,0.96,0.3,0.08,33.3,8.91,0,9,3.9,1.04,0,1,62.6,16.76,0,0,0.2,0.05,6,300,33,89,140,2.3,0.71,1.3,9,0.63,4,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,62.4,0,0.2,0,0,0,0,18,15,0,0.04,0.06,0.4,0.7,1.1,0.03,0,12,0.3,3,0,0,0,0,0.86,0.18,0.28,5.11,0,0,0,1.44,2.3
Cereal chewy bar,17-494,17 bars of different brands; assorted types,"Sugars, preserves and snacks ",SEC,As MSF 17-102 and FA Supplements 17-428,419,7.3,62.9,32.2,1.17,3.2,0,16.4,23.3,1.1,0,,0,0,0,0,0,0,0,0,0,0,5.03,11.54,1.8,0.21,0.03,35.96,5.61,0,8.65,11.01,1.72,0,1.84,32.25,5.03,0,0,20.24,3.16,110,320,70,55,190,1.9,0.16,1.1,210,1.36,0,0,0,0,0,0,0,0,0,0,0,0,6.4,7.4,0,5,10.6,8.2,1.5,0,0,0,0,0,0,0,0.24,0.17,1.2,1.9,3.1,0.13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruit gums/jellies,17-107,"11 samples, 10 brands; assorted flavours","Sugars, preserves and snacks ",SEC,As MSF 17-107,324,6.5,77.7,57.45,1.04,0,0,0,1.7,14,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,5,1,4,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,46.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peppermints,17-117,Several samples of 6 different brands,"Sugars, preserves and snacks ",SEC,As MSF 17-117,393,0.5,100.3,100.3,0.08,0,0,0.7,0,0.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,3,0,0.2,0.04,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquorice shapes,17-113,"9 samples, 4 brands","Sugars, preserves and snacks ",SEC,As MSF 17-113 with fatty acids from FA 17-445,278,5.5,63.25,40.75,0.88,1.9,0,1.4,18.4,13.3,3.8,,0,0,0,0,0,0,0,0,0,0,0.39,33.7,0.42,4.7,0.06,27.7,0.34,0,0.37,37.5,0.47,0,0.48,31.7,0.39,0,0,2.9,0.04,190,1590,440,170,74,16.7,0.72,1,990,2.49,0,0,0,0,2.4,0.5,9,0,0,0,0,0,0,5,0,5.4,27.7,3.4,0,0,0,0,0,0,0,0,0.1,0.08,1.5,0.6,0,0.56,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruit pastilles,17-108,6 samples of different brands; assorted flavours,"Sugars, preserves and snacks ",SEC,As MSF 17-108,327,2.8,82.35,58.1,0.45,0,0,0,3.1,9.1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,28,6,4,0.4,0.04,0,29,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,2.1,45.4,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquorice allsorts,17-112,"7 samples, 4 brands","Sugars, preserves and snacks ",SEC,As MSF 17-112 with fatty acids from 17-446,349,3.7,74.85,61.1,0.59,2,0,5.2,8.5,8.4,0,,0,0,0,0,0,0,0,0,0,0,3.6,3.1,0.15,0.4,0.02,13,0.65,0,1.2,3.2,16,0,0.2,72.6,3.61,0,0,11.2,0.6,57,600,170,76,44,7.3,0.34,0.5,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,2.5,51.1,2.9,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn and starch snacks,17-126,"20 samples, 6 brands including Skips","Sugars, preserves and snacks ",SNC,As MSF 17-126 with fatty acids calculated from FA supplement 17-429 proportions,505,20.9,53.35,4.1,0.61,3.5,0,31.2,46.9,2.6,47,,0,0,0,0,0,0,0,0,145,0,13.93,12.26,3.71,0.41,12,42.34,12.79,0,13.02,12.16,3.68,0,3.88,46.09,13.93,0,0,0.71,0.21,1320,130,30,18,82,1.3,0.05,0.4,2060,0.13,3,0,0,0,31,0,12,0,0,0,4,0,0,0.5,0,0.2,3.5,0,0,0,0,0,0,0,0,0,0.27,0.1,1.2,0.4,0,0.11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed cereal and potato flour snacks,17-128,"40 samples. Shaped and flavoured snacks based on maize, potato and wheat including cheese balls","Sugars, preserves and snacks ",SNB,As MSF 17-128. Fatty acid data for a single snack brand is available in 17-430,449,7.1,54.15,1.4,1.14,2.3,0,23.1,50.3,4,0,,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,5.7,0,0,0,5.5,0,0,0,0,0,0,1820,340,33,25,110,1.1,0.1,0.6,3820,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,1,0,0,0,0,0,0,0,0,0,0.2,0.13,2.6,1.2,0,0.12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twiglets,17-150,"20 samples, savoury wholewheat sticks","Sugars, preserves and snacks ",SN,As MSF and FA supplements 17-150,383,11.85,59.2,1.05,1.98,10.3,0,11.7,55.4,3.2,0,,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,35.89,4.01,0,4.4,16.11,1.8,0,1.8,44.14,4.94,0.02,0,0,0,1340,460,45,81,370,2.9,0.32,2,2520,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0.37,0.48,7.8,2.3,0,0.38,0,78,1.54,15,0,0,0,0,2.02,0.48,0.19,2.56,0,0,0,2.47,0
Tortilla chips,17-497,"20 samples, 6 brands, maize chips","Sugars, preserves and snacks ",SN,"As MSF and FA Supplements 17-149 with selenium estimated from 'maize based snacks', SAC 'Analysis of foods for Selenium '1994 MAFF Project 2B006. Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",459,7.6,57.4,1.2,1.22,6,0,22.6,53.5,0.9,98.4,,0,0,0,0,0,0,0,0,455,0,4,31.8,6.87,0.6,0.13,32,6.91,0,10.6,29.2,6.31,0,6.7,18.4,3.98,0,0,20.4,4.41,860,220,150,89,240,1.6,0.09,1.2,1400,0.43,3,0,1.2,0,68,0,16.4,5.3,0,0,7.6,0,0,0.1,0,0.1,1,0,0,0,0,0,0,76,0,0,0.17,0.09,1.8,0.8,2.6,0.31,0,19,0,0,0,0,0,0,1.72,0.06,0.15,1.97,0,0,0,1.94,0.18
Potato rings,17-142,"18 samples, 3 brands; assorted flavours; Hula Hoop type","Sugars, preserves and snacks ",SN,As MSF and FA supplements 17-142,523,3.9,55.85,0.5,0.62,2.6,0,32,52.7,2.8,15,,0,0,0,0,0,0,0,0,0,0,13.9,12.6,3.85,0.5,0.15,41.2,12.6,0,12.7,12.5,3.82,0,4,45.5,13.92,0,0,0.8,0.24,1070,540,22,28,100,1,0.16,0.7,1650,0.21,1,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Potato crisps,17-495,"20 samples, 8 brands; mixed plain and flavoured","Sugars, preserves and snacks ",SN,"As MSF and FA Supplement 17-133, with some inorganics and vitamin values from SNACMA 2000. Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",530,5.7,50.9,0.7,0.91,5.3,0,34.2,47.8,2.8,0,,0,0,0,0,2,0,0,0,2,0,14,0,0,0,0,41.32,13.51,0,13.7,15.19,4.97,0,5,42.94,14.04,0,0,0,0,800,1040,29,57,110,1.4,0.15,0.6,1310,0.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,32,0.21,0.08,3.2,1.3,4.5,0.81,0,30,0.93,0,35,0,0,0,5.42,0.22,0.73,2.88,0,0,0,6,9.6
Corn snacks,17-125,"20 samples, 7 brands including Wotsits, Monster Munch and Nik-Naks","Sugars, preserves and snacks ",SN,"As MSF and FA supplements 17-125. Vitamin K1 from Bolton-Smith et al, Br.J. Nutr. 83, 2000",519,7,51.95,4.5,1.12,1,0,31.9,45.2,3.3,0,,0,0,0,0,0,0,0,0,460,0,11.8,16.77,5.11,2.33,0.71,41.91,12.78,0,12.9,18.97,5.79,0,5.8,38.63,11.78,0.02,0.01,0.49,0.15,1130,200,68,18,140,0.8,0.04,0.5,1840,0.13,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0.7,3.5,0,0,0,0,0,0,0,0,0.19,0.16,0.9,0.7,0,0.13,0,49,0,0,0,0,0,0,5.38,0.11,0.54,4.09,0,0,0,5.8,15.5
Bombay mix,14-807,"20 samples; savoury mix of gram flour, assorted peas, lentils, nuts and seeds","Sugars, preserves and snacks ",SN,As FAN and FA supplements 14-807,503,18.8,33.55,2.25,3.01,6.2,0,32.9,29.8,3.5,0,,0,0,0,0,0,0,0,0,0,0,4,30.95,9.72,4.92,1.55,51.74,16.27,0,16.2,34.96,11,0,11.3,12.53,3.95,0.04,0.01,0.63,0.2,770,770,58,100,290,3.8,0.62,2.5,1410,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,2.2,0,0,0,0,0,0,0,0,0,0.38,0.1,4.3,3.5,0,0.54,0,0,1.19,24,0,0,0,0,3.86,0,0,8.54,0,0,0,4.71,0
"Potato crisps, low fat",17-496,20 samples of different brands; mixed plain and flavoured,"Sugars, preserves and snacks ",SN,"As MSF and FA Supplement 17-136 with selenium estimated from 'potato based snacks', SAC 'Analysis of foods for Selenium' 1994 MAFF Project 2B006",458,6.6,60.65,1.45,1.06,5.9,0,21.5,56.4,1.1,0,,0,0,0,0,2,0,0,0,2,0,9.3,11.66,2.4,0.56,0.12,42.05,8.64,0,8.7,12.18,2.5,0,2.5,45.43,9.34,0,0,0.35,0.07,730,1020,36,48,130,1.8,0.38,0.9,1200,0.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0,0.5,0,0,0,0,0,0,0,0.19,0.14,5,1.6,6.6,0.46,0,48,0,0,14,0,0,0,3.36,0.09,0.06,0.62,0,0,0,3.47,0
"Jam, reduced sugar",17-075,"9 samples, 5 brands; assorted flavours","Sugars, preserves and snacks ",SC,As MSF 17-075,123,0.5,31.75,31.75,0.08,0.8,0,0.1,0,65.3,0,,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,120,19,7,15,0.4,0.05,0,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,10.4,0,15,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0.14,0
